Label,Slug,Collection ID,Item ID,Created On,Updated On,Published On
Intermediate 3-6,intermediate-3-6,6165b59ceb6eb987e7286f12,6165b59ceb6eb97695286f57,Tue Jul 20 2021 20:43:01 GMT+0000 (Coordinated Universal Time),Tue Jul 20 2021 20:43:01 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Middle School,middle-school,6165b59ceb6eb987e7286f12,6165b59ceb6eb94e5e286f58,Tue Jul 20 2021 20:43:15 GMT+0000 (Coordinated Universal Time),Tue Jul 20 2021 20:43:15 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
Primary K-2,primary-k-2,6165b59ceb6eb987e7286f12,6165b59ceb6eb96ebe286f56,Tue Jul 20 2021 20:42:29 GMT+0000 (Coordinated Universal Time),Tue Jul 20 2021 20:42:29 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time)
