Title,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Cover Photo,Author,Illustrator,Publisher,Featured,Copyright Year,ISBN,Awards,Publisher Summary,Chapter/Picture,Languaging,Translator,Languages,Grade Levels,Genres,Topics,Content Standards,WIDA Standards,Translanguaging Typology,Representation,Action Link,Action Link Label
The ugly Vegetables,the-ugly-vegetables,6165b59ceb6eb980da286f0f,6165b59ceb6eb903fe286f94,Mon Aug 30 2021 17:05:32 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:41:02 GMT+0000 (Coordinated Universal Time),,,Grace Lin*,,,false,,,,,,,,,,,,,,,,,
The Upside Down Boy/El niño de cabeza,the-upside-down-boy-el-nino-de-cabeza,6165b59ceb6eb980da286f0f,6165b59ceb6eb9bce1286f95,Mon Aug 30 2021 17:05:32 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:40:59 GMT+0000 (Coordinated Universal Time),,,Juan Felipe Herrera,Elizabeth Gómez,Lee & Low Books,true,2000,978-0-89239-217-9,,"The Upside Down Boy is award-winning poet Juan Felipe Herrera's engaging memoir of the year his migrant family settled down so that he could go to school for the first time. Juanito is bewildered by the new school, and he misses the warmth of country life. Everything he does feels upside down. He eats lunch when it's recess; he goes out to play when it's time for lunch; and his tongue feels like a rock when he tries to speak English. But a sensitive teacher and loving family help him to find his voice and make a place for himself in this new world through poetry, art, and music. Juan Felipe Herrera's playful language and the colorful, magical art of Elizabeth Gómez capture the universal experience of children entering a new school feeling like strangers in a world that seems upside down-at first.",,,,,,fiction,,"<p>CCSS.ELA-LITERACY.RL.2.6Acknowledge differences in the points of view of characters, including by speaking in a different voice for each character when reading dialogue aloud. MA History and Social Science Framework 2.T41. Recognize the difference between physical geography and political geography. 2T4.2. Explain the characteristics of a country.</p>",<p>ELD-SI.K-3.Narrate  ●Share ideas about one’s own and others’ lived experiences and previous learning                                                                       Engage and adjust for audience through…■Language to address reader/listener and draw them in (It was so exciting!)</p>,<p>Bilingual with Other Language in the English Side Text</p>,,https://www.leeandlow.com/books/the-upside-down-boy-el-nino-de-cabeza,Publisher Guide
Those Shoes,those-shoes,6165b59ceb6eb980da286f0f,6165b59ceb6eb978e2286f96,Mon Aug 30 2021 17:05:32 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:40:55 GMT+0000 (Coordinated Universal Time),,,,,,false,,,,,,,,,,,,,,<p>Variety of English dialects -</p>,,,
Tortillas and Lullabies/Tortillas y cancioncitas,tortillas-and-lullabies-tortillas-y-cancioncitas,6165b59ceb6eb980da286f0f,6165b59ceb6eb97a74286f97,Mon Aug 30 2021 17:05:32 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:40:52 GMT+0000 (Coordinated Universal Time),,,Lynn Reiser,Corazones Valientes,Harper Collins,true,1998,978-0-688-14628-3,Parents' Choice Silver Honor,"From great-grandmother to grandmother to mother to daughter, four generations embrace family tradition in slightly different ways. But one thing never changes: the love they have for one another.",,,,,,fiction,,"<p>CCSS.ELA-LITERACY.RL.K.7With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts). CCSS.ELA-LITERACY.RL.K.9With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories.  MA History and Social Science Framework K.T3.2 Contrast and compare traditions and celebrations of peoples with diverse cultural backgrounds.</p>","<p>Describe story events through… ■Verbs to describe character actions (jumped), feelings (was sad), behaviors (eating) Orient audience to story through…■Pictures, words, title, simple statements, or common story expressions to introduce context</p>",<p>Traditional Bilingual with Other Language in Illustrations</p>,,https://www.harpercollins.com/products/tortillas-and-lullabiestortillas-y-cancioncitas-lynn-reiser?variant=32116575272994,Publisher Guide
Uncle Peter's Amazing Chinese Wedding,uncle-peters-amazing-chinese-wedding,6165b59ceb6eb980da286f0f,6165b59ceb6eb9c9a6286f98,Mon Aug 30 2021 17:05:33 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:40:49 GMT+0000 (Coordinated Universal Time),,,Lenore Look,Yumi Heo,Atheneum Books for Young Readers,false,2006,9780689844584,,"Jenny's favorite uncle, Peter, is getting married, and everyone is happy happy -- everyone, that is, except Jenny. While her family runs about getting ready for the traditional Chinese wedding -- preparing for the tea ceremony, exchanging good-luck money called hungbau, helping the bride with her many dresses -- Jenny is crying on the inside. How is she supposed to still be Uncle Peter's number-one girl, with her new aunt Stella around? Maybe if she can stop the day's events from happening, he won't get married at all...",,,,,,,,,,,,,
Vamos! Let's Go Eat,vamos-lets-go-eat,6165b59ceb6eb980da286f0f,6165b59ceb6eb966e9286f99,Mon Aug 30 2021 17:05:33 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:40:46 GMT+0000 (Coordinated Universal Time),,,Raul the Third,Raul the Third,Versify,false,2020,,2021 Pura Belpré Illustrator Medal,"Little Lobo is excited to take in a show with wrestling star El Toro in his bustling border town. After getting lunch orders from The Bull and his friends to help prepare for the event, Little Lobo takes readers on a tour of food trucks that sell his favorite foods, like quesadillas with red peppers and Mexican-Korean tacos. (pub summary)",,,,,,,,,,,,,
Vamos! Let's Go to the Market,vamos-lets-go-to-the-market,6165b59ceb6eb980da286f0f,6165b59ceb6eb9387d286fb2,Mon Aug 30 2021 17:05:33 GMT+0000 (Coordinated Universal Time),Wed Sep 15 2021 02:44:44 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/61415cdba1160c35069e05a7_Vamos%20Let%27s%20Go%20to%20the%20Market.jpg,Raul the Third,,Versify,false,2019,9781328557261 ,2021 Pura Belpré Illustrator Medal,"Richard Scarry’s Busytown gets a Mexican-American makeover in the marketplace of a buzzing border town from Pura Belpré Medal-winning illustrator Raúl the Third. . . . [T]his paper over board book teaches readers simple words in Spanish as they experience the bustling life of a border town. Follow Little Lobo and his dog Bernabe as they deliver supplies to a variety of vendors, selling everything from sweets to sombreros, portraits to piñatas, carved masks to comic books!",Picture Book,Interlingual,,spanish; english,primary-k-2; intermediate-3-6,fiction,culture; food,,,,mexican,,
Viva Frida,viva-frida,6165b59ceb6eb980da286f0f,6165b59ceb6eb92c3a286f9a,Mon Aug 30 2021 17:05:33 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:40:40 GMT+0000 (Coordinated Universal Time),,,,,,false,,,,,,,,,,,,,,,,,
We Are Grateful: Otsaliheliga,we-are-grateful-otsaliheliga,6165b59ceb6eb980da286f0f,6165b59ceb6eb916a0286fb3,Mon Aug 30 2021 17:05:34 GMT+0000 (Coordinated Universal Time),Wed Sep 15 2021 15:03:54 GMT+0000 (Coordinated Universal Time),Tue Oct 12 2021 16:19:59 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/60f71ede3d9e8d1b0cfcab02/61415e37733bcb629291dab8_WeAreGrateful.jpg,Traci Sorell,Frané Lessac,Charlesbridge,true,2018,9781580897723,"2019 Sibert Honor Book, 2019 Orbis Pictus Honor Book","The word otsaliheliga (oh-jah-LEE-hay-lee-gah) is used by members of the Cherokee Nation to express gratitude. Beginning in the fall with the new year and ending in summer, follow a full Cherokee year of celebrations and experiences. Written by a citizen of the Cherokee Nation, this look at one group of Native Americans is appended with a glossary and the complete Cherokee syllabary, originally created by Sequoyah.",Picture Book,Interlingual,,cherokee-tsalagi,primary-k-2; intermediate-3-6,non-fiction,culture; traditions-customs,"<p><strong>CCSS.ELA-LITERACY.RL.2.6</strong>‍</p><p>Acknowledge differences in the points of view of characters, including by speaking in a different voice for each character when reading dialogue aloud.</p>",,<p>Concurrent Translation</p>,native-american-first-nations,,
What can you do with a paleta?,what-can-you-do-with-a-paleta,6165b59ceb6eb980da286f0f,6165b59ceb6eb94496286f9b,Mon Aug 30 2021 17:05:34 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:40:34 GMT+0000 (Coordinated Universal Time),,,Carmen Tafolla,Magaly Morales,Penguin Random House,true,2009,9781582462219,Tomás Rivera Mexican American Children’s Book Award,"As she strolls through her barrio, a young girl introduces readers to the frozen, fruit-flavored treat that thrills Mexican and Mexican-American children. In this bilingual paperback edition, discover the joys of a paleta—the traditional Mexican popsicle treat sold from the wagon with the tinkly bell that brings children running from every direction. Create a masterpiece, make tough choices (strawberry or coconut?), or cool off on a warm summer’s day–there’s so much to do with a paleta.",,,,,,fiction,,,,<p>Bilingual with Other Language in the English Side Text</p>,,https://www.penguinrandomhouse.com/books/198253/que-puedes-hacer-con-una-paleta-what-can-you-do-with-a-paleta-spanish-edition--by-carmen-tafolla-illustrated-by-magaly-morales/,Publisher Guide
What can you do with a rebozo? /¿Qué puedes hacer con un rebozo?,what-can-you-do-with-a-rebozo-que-puedes-hacer-con-un-rebozo,6165b59ceb6eb980da286f0f,6165b59ceb6eb91e9b286f9c,Mon Aug 30 2021 17:05:34 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:17:20 GMT+0000 (Coordinated Universal Time),,,Carmen Tafolla,Amy Córdova,Tricycle Press,true,2008,978-1-5th 8246-271-4,,"A cradle for baby, a superhero’s cape, a warm blanket on a cool night–there are so many things you can do with a rebozo. Through the eyes of a young girl, readers are introduced to the traditional shawl found in many Mexican and Mexican-American households. Now in an English/Spanish bilingual edition, the lively rhyme and brightly-colored illustrations of the original are available to a whole new audience.",,,Aurora Hernandez,,,fiction,,<p>MA History and Social Science Framework K.T3.2 Contrast and compare traditions and celebrations of peoples with diverse cultural backgrounds. CCSS.ELA-LITERACY.RF.K.2.ARecognize and produce rhyming words.</p>,"<p>ELD-SI.K-3.Narrate  ●Share ideas about one’s own and others’ lived experiences and previous learning  ●Connect stories with images and representations to add meaning                                                                Orient audience to story through…■Prepositional phrases to specify location and time (at Grandma’s house, by the river; in the winter, at night) Describe story events through…                                            ■Pronouns and renaming to reference a character across the text (the girl=she=Nancy)</p>",<p>Bilingual with Other Language in the English Side Text</p>,,https://www.penguinrandomhouse.com/books/198077/what-can-you-do-with-a-rebozo--que-puedes-hacer-con-un-rebozo-by-carmen-tafolla/,Publisher Guide
When We Were Alone,when-we-were-alone,6165b59ceb6eb980da286f0f,6165b59ceb6eb92869286f9d,Mon Aug 30 2021 17:05:34 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:40:31 GMT+0000 (Coordinated Universal Time),,,David A. Robertson,Julie Flett,HighWater Press,false,2016,,"2017 Governor General's Literary Award in the Young People's Literature, McNally Robinson Book for Young People Award","When a young girl helps tend to her grandmother’s garden, she begins to notice things that make her curious. Why does her grandmother have long, braided hair and beautifully coloured clothing? Why does she speak another language and spend so much time with her family? As she asks her grandmother about these things, she is told about life in a residential school a long time ago, where all of these things were taken away. When We Were Alone is a story about a difficult time in history, and, ultimately, one of empowerment and strength. (publisher's summary)",,,,,,fiction,,,,,,,
Yo Soy Muslim: A Father's Letter to His Daughter,yo-soy-muslim-a-fathers-letter-to-his-daughter,6165b59ceb6eb980da286f0f,6165b59ceb6eb9bded286f9e,Mon Aug 30 2021 17:05:34 GMT+0000 (Coordinated Universal Time),Mon Aug 30 2021 17:40:26 GMT+0000 (Coordinated Universal Time),,,Mark Gonzales,Mehrdokht Amini,Salaam Reads,false,2017,,"CBC/NCSS Notable Social Studies Trade Book, ILA Notable Books for a Global Society, NCTE Notable Children's Books in the Language Arts","Written as a letter from a father to his daughter, Yo Soy Muslim is a celebration of social harmony and multicultural identities. The vivid and elegant verse, accompanied by magical and vibrant illustrations, highlights the diversity of the Muslim community as well as Indigenous identity. (publisher's summary)",,,n/a,,,fiction,,,,<p>What the bilingual characters in the text do with language. [Translanguaging in dialogue; Translanguaging in narration]</p>,,,
